Character Number	SimJ Score MACHINE	NIC Score MACHINE	SimJ Score HUMAN	NIC Score HUMAN
124	0.681818182	0.864296235	1	0.940003451
125	0	0	0.658932715	0.924292784
125	0.971428571	0.707987975	0.395348837	0.940003451
125	0	0	0.416666667	0.962146392
126	0	0	1	0.893731487
126	0	0	1	0.893731487
127	0.091390728	0.553140517	0.452954048	0.940003451
127	0.676470588	0.859925006	0.676470588	0.859925006
127	0.091390728	0.553140517	0.425269646	0.560219563
128	0	0	1	0.855877879
128	0	0	1	0.855877879
129	0	0	1	0.962146392
129	0.49660787	0.859925006	1	0.962146392
130	0.01142132	0.708510574	0.014352047	0.709839379
130	0	0	0.425	0.940003451
131	0.001040177	0.516529618	0.322869955	0.902149843
131	0.002390026	0.429427367	0.322869955	0.940003451
132	0.279742765	0.807421176	1	0.902149843
132	0.731707317	0.845274784	1	0.902149843
133	0	0	0.43537415	0.864296235
133	0	0	1	0.902149843
134	0	0	1	0.848585568
134	0	0	1	0.848585568
134	1	0.886439176	1	0.886439176
135	0.443396226	0.818024272	0.961538462	0.902149843
135	0.443396226	0.818024272	0.961538462	0.902149843
136	1	0.864296235	1	0.864296235
136	1	0.864296235	1	0.864296235
137	1	0.855877879	1	0.855877879
137	1	0.855877879	1	0.855877879
137	0	0	0.009787928	0.567693377
138	1	0.836399428	1	0.836399428
138	1	0.836399428	1	0.836399428
139	0	0	1	0.902149843
139	1	0.880006902	1	0.880006902
140	0	0	0.617647059	0.902149843
140	0	0	0.53164557	0.902149843
141	0.005780347	0.751307262	0.739130435	0.962146392
141	0.007518797	0.751307262	0.739130435	0.962146392
142	1	0.764949787	0.5	0.902149843
142	1	0.859925006	1	0.859925006
142	1	0.775500194	0.5	0.902149843
143	0	0	1	0.902149843
143	0	0	1	0.902149843
144	0	0	1	0.940003451
144	0	0	1	0.940003451
145	0	0	0.659574468	0.893731487
145	0	0	0.659574468	0.893731487
145	0	0	0.659574468	0.902149843
145	0	0	0.659574468	0.893731487
146	0.004798355	0.50449828	0.666666667	0.924292784
146	0.005962183	0.721490111	0.666666667	0.924292784
147	0.931034483	0.874253036	0.931034483	0.874253036
147	0.931034483	0.874253036	0.931034483	0.874253036
148	0	0	1	0.902149843
148	0	0	0.666666667	0.940003451
148	0	0	1	0.902149843
149	1	0.855877879	1	0.855877879
149	1	0.855877879	1	0.855877879
150	0	0	0.140939597	0.886439176
150	0	0	0.140939597	0.886439176
150	0	0	0.140939597	0.886439176
150	0	0	0.140939597	0.886439176
151	0	0	0.722222222	0.836399428
151	0	0	0.722222222	0.826442627
152	0	0	1	0.902149843
152	0	0	1	0.902149843
153	0.192982456	0.632150886	0.210526316	0.797197327
153	0.192982456	0.605606789	0.210526316	0.787462975
154	0	0	1	0.864296235
154	0	0	1	0.864296235
155	0.00260439	0.56351406	0.5	0.880006902
155	0.569296375	0.73545307	1	0.912106644
156	1	0.864296235	1	0.864296235
156	1	0.859925006	1	0.859925006
157	1	0.818024272	1	0.818024272
157	1	0.818024272	1	0.818024272
158	0	0	0.210526316	0.797197327
158	0.210526316	0.787462975	0.210526316	0.787462975
159	0.002392008	0.613443184	0.219931271	0.924292784
159	0.002863399	0.613443184	0.658097686	0.940003451
160	0.44813278	0.839200617	0.514285714	0.893731487
160	0	0	0.514285714	0.893731487
161	0	0	1	0.880006902
161	0	0	1	0.874253036
162	1	0.848585568	1	0.848585568
162	1	0.848585568	1	0.848585568
163	1	0.836399428	1	0.836399428
163	1	0.828766859	1	0.828766859
164	0.007592675	0.474934777	1	0.924292784
164	0.009508894	0.548659036	1	0.902149843
165	0.065789474	0.848585568	1	0.962146392
165	0.065789474	0.859925006	1	0.940003451
166	0	0	0.658536585	0.797197327
166	0	0	0.458128079	0.816107892
166	0	0	0.837837838	0.816107892
167	0	0	1	0.902149843
167	0	0	1	0.902149843
168	0.05401662	0.602092236	0.833333333	0.924292784
168	0	0	0.006289308	0.712598108
169	0	0	0.647058824	0.842153294
169	0	0	0.101851852	0.842153294
170	1	0.902149843	1	0.902149843
170	1	0.874253036	1	0.874253036
170	1	0.874253036	1	0.874253036
171	0.123893805	0.660722049	1	0.940003451
171	0	0	1	0.940003451
172	0	0	0.348684211	0.924292784
172	0	0	0.348684211	0.924292784
173	0.435483871	0.776402879	1	0.869048032
173	0.435483871	0.767984524	1	0.869048032
174	1	0.855877879	1	0.855877879
174	1	0.855877879	1	0.855877879
175	0.5	0.880006902	0.625	0.902149843
175	0.5	0.869048032	1	0.902149843
176	0	0	0.857142857	0.902149843
176	0	0	0.857142857	0.902149843
177	1	0.864296235	1	0.864296235
177	1	0.864296235	1	0.864296235
178	0	0	0.613636364	0.924292784
178	0	0	0.5	0.924292784
179	0	0	1	0.962146392
179	0	0	1	0.962146392
180	1	0.874253036	1	0.874253036
180	1	0.874253036	1	0.874253036
180	1	0.874253036	1	0.874253036
181	0.268279312	0.836399428	1	0.962146392
181	0.008781492	0.608347125	0.58974359	0.924292784
181	0.281007752	0.924292784	0.757575758	0.962146392
182	1	0.902149843	1	0.902149843
182	0	0	1	0.940003451
182	0	0	0.333333333	0.81073196
183	0.36	0.833734938	0.268656716	0.573600206
183	0.36	0.619576973	0.272268908	0.619576973
184	0.440677966	0.845274784	0.9125	0.902149843
184	0.440677966	0.831194424	0.9125	0.874253036
184	0.440677966	0.842153294	0.9125	0.874253036
184	0.342105263	0.790913251	0.660036166	0.831194424
185	0	0	1	0.924292784
185	0.001955968	0.617207679	1	0.924292784
186	0.714285714	0.842153294	1	0.880006902
186	0.153846154	0.790913251	0.857142857	0.880006902
186	0.066666667	0.435823612	0.617647059	0.962146392
186	0.458333333	0.822071398	1	0.880006902
187	0	0	0.35096816	0.886439176
187	0	0	0.480905861	0.893731487
188	1	0.855877879	1	0.855877879
188	0.428571429	0.818024272	0.714285714	0.893731487
188	0.428571429	0.818024272	0.714285714	0.893731487
189	0.007244358	0.6544237	1	0.902149843
189	0.248506571	0.833734938	1	0.962146392
190	1	0.924292784	0.288135593	0.816107892
190	0.8	0.912106644	0.288135593	0.893731487
190	0	0	0.288135593	0.924292784
191	0	0	0.006378987	0.613443184
191	0	0	0.006378987	0.613443184
192	0	0	0.396680864	0.902149843
192	0	0	0.396680864	0.902149843
193	0.001375927	0.490832881	0.929577465	0.912106644
193	0.001147876	0.490832881	0.929577465	0.886439176
194	0.557377049	0.869048032	0.887096774	0.902149843
194	0	0	0.887096774	0.902149843
195	1	0.859925006	1	0.859925006
195	1	0.859925006	1	0.859925006
196	0.418403999	0.848585568	0.305555556	0.902149843
196	0.001189805	0.438865118	1	0.924292784
196	0.6	0.818024272	1	0.855877879
197	0	0	0.75862069	0.924292784
197	0.771929825	0.886439176	0.75862069	0.886439176
198	0.092240117	0.783177545	0.002291961	0.50582329
198	0.130434783	0.785278235	0.002223362	0.50582329
199	0	0	1	0.962146392
199	0.3625	0.855877879	0.833333333	0.940003451
200	0	0	1	0.940003451
200	0	0	1	0.940003451
201	0.75	0.801347009	0.75	0.801347009
201	0.375	0.801347009	0.75	0.801347009
201	1	0.855877879	1	0.855877879
202	0	0	1	0.902149843
202	0	0	1	0.902149843
203	0	0	0.666666667	0.855877879
203	0	0	1	0.893731487
